NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle
Aurora  (Tabletsat-2U-EO),Russia,"Sputnix Ltd.,Russia",Commercial,Technology Development,LEO,583,618,2.51E-03,97.99,96.7,25,19/06/2014,1 yr.,Dombarovsky Air Base,Dnepr
Azerspace/Africasat-1a (Azersat-1),Azerbaijan,"Ministry of Communications and Information Technologies,Azerbaijan",Government,Communications,GEO,"35,778","35,794",1.90E-04,0.04,1436.08,"3,250",7/2/2013,15 yrs.,Guiana Space Center,Ariane 5 ECA
Badr 4 (Arabsat 4B),NR,"Arab Satellite Communications Org. (ASCO),Multinational",Government,Communications,GEO,"35,780","35,791",1.30E-04,0.07,1436.06,"3,304",8/11/2006,15 yrs.,Baikonur Cosmodrome,Proton M
Badr 5 (Arabsat 5B),NR,"Arab Satellite Communications Org. (ASCO),Multinational",Government,Communications,GEO,"35,834","35,883",5.80E-04,0.06,1439.76,"5,420",3/6/2010,15 yrs.,Baikonur Cosmodrome,Proton
Badr 5A (Arabsat 5A),NR,"Arab Satellite Communications Org. (ASCO),Multinational",Government,Communications,GEO,"35,605","35,623",2.14E-04,0.03,1427.27,"4,940",26/06/2010,15 yrs.,Guiana Space Center,Ariane 5 ECA
Badr 6 (Arabsat 4AR),NR,"Arab Satellite Communications Org. (ASCO),Multinational",Government,Communications,GEO,"35,768","35,805",4.39E-04,0.05,1436.1,"3,400",7/7/2008,15 yrs.,Guiana Space Center,Ariane 5 ECA
Badr 7 (Arabsat 6B),NR,"Arab Satellite Communications Org. (ASCO),Multinational",Government,Communications,GEO,"35,768","35,817",5.81E-04,0.1,"1,436.00","5,500",10/11/2015,15 yrs.,Guiana Space Center,Ariane 5
BARS-M (Cosmos 2503),Russia,"Ministry of Defense,Russia",Military,Earth Observation,LEO,570,586,1.15E-03,97.7,96.1,"4,000",27/02/2015,5 yrs.,Plesetsk Cosmodrome,Soyuz-2.1b
BARS-M (Cosmos 2515),Russia,"Ministry of Defense,Russia",Military,Earth Observation,LEO,549,594,3.24E-03,97.62,96.1,"4,000",24/03/2016,5 yrs.,Plesetsk Cosmodrome,Soyuz 2.1a
BeEagleSat (QB 50 - TR01),NR (10/17),"Istanbul Technical University/Turkish Air Force Academy,Turkey",Civil,Earth Science,LEO,395,411,1.18E-03,51.6,92.6,2,26/05/2017,5 yrs.,International Space Station,Nanorack Deployer
BeeSat-1 (Berlin Experimental and Educational Satellite 1),Germany,"Institut für Luft- und Raumfahrt,Germany",Civil,Technology Development,LEO,709,718,6.35E-04,98.3,99,1,23/09/2009,1 yr.,Satish Dhawan Space Centre,PSLV
BeeSat-2 (Berlin Experimental and Educational Satellite 2),Germany,"Institut für Luft- und Raumfahrt,Germany",Civil,Technology Development,LEO,555,579,1.73E-03,64.8,96.01,1,19/04/2013,1 yr.,Baikonur Cosmodrome,Soyuz 2.1a
BeeSat-3 (Berlin Experimental and Educational Satellite 3),Germany,"Institut für Luft- und Raumfahrt,Germany",Civil,Technology Development,LEO,554,581,1.95E-03,64.8,96.01,1,19/04/2013,1 yr.,Baikonur Cosmodrome,Soyuz 2.1a
Beidou 2-12 (Compass M3),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,MEO,"21,460","21,595",2.42E-03,55.16,773.19,"2,200",28/04/2012,8 yrs.,Xichang Satellite Launch Center,Long March 3B
Beidou 2-13 (Compass M4),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,MEO,"21,452","21,603",2.71E-03,55.1,773.21,"2,200",28/04/2012,8 yrs.,Xichang Satellite Launch Center,Long March 3B
Beidou 2-14 (Compass M5),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,MEO,"21,462","21,591",2.31E-03,55,773.1,"3,800",18/09/2012,8 yrs.,Xichang Satellite Launch Center,Long March 3B
Beidou 2-15 (Compass M6),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,MEO,"21,477","21,574",1.74E-03,55,773.1,"3,800",18/09/2012,8 yrs.,Xichang Satellite Launch Center,Long March 3B
Beidou 2-16 (Compass G-6),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,775","35,799",2.85E-04,1.84,1436.11,"3,800",25/10/2012,8 yrs.,Xichang Satellite Launch Center,Long March 3C
Beidou 2-17 (IGSO-6),NR (12/16),"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,676","35,890",2.54E-03,54.97,1435.92,"4,200",30/03/2016,8 yrs.,Xichang Satellite Launch Center,Long March 3A
Beidou 2-18 (Compass G-7),NR (12/16),"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,776","35,794",2.13E-04,1.84,1436.1,"3,800",12/6/2016,8 yrs.,Xichang Satellite Launch Center,Long March 3C
Beidou 3I-1S,China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,796","36,781",1.15E-02,54.9,1461.81,"4,200",30/03/2015,8 yrs.,Xichang Satellite Launch Center,Long March 3C
Beidou 3I-2S,NR,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,606","35,953",4.12E-03,55,1435.73,"4,200",29/09/2015,8 yrs.,Xichang Satellite Launch Center,Long March 3B
Beidou 3M-1S,NR,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,MEO,"21,520","21,549",5.20E-04,55,773.2,800,25/07/2015,5 yrs.,Xichang Satellite Launch Center,Long March 3B
Beidou 3M-2S,NR,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,MEO,"21,521","21,550",5.20E-04,55,773.3,800,25/07/2015,5 yrs.,Xichang Satellite Launch Center,Long March 3B
Beidou 3M-3S,NR (12/16),"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,MEO,"21,524","21,532",1.43E-04,55,773.2,800,1/2/2016,5 yrs.,Xichang Satellite Launch Center,Long March 3C
Beidou G1 (Compass G-1),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,768","35,803",4.15E-04,1.78,1436.05,"2,200",16/01/2010,5 yrs.,Xichang Satellite Launch Center,Long March 3C
Beidou G3 (Compass G-3),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,774","35,797",2.73E-04,1.83,1436.05,"2,200",2/6/2010,5 yrs.,Xichang Satellite Launch Center,Long March 3
Beidou G4 (Compass G-4),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,764","35,809",5.34E-04,1.43,1436.1,"6,000",31/10/2010,5 yrs.,Xichang Satellite Launch Center,Long March 3C
Beidou G5 (Compass G-11),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,776","35,799",2.73E-04,1.87,1436.15,"2,300",24/02/2012,8 yrs.,Xichang Satellite Launch Center,Long March 3A
Beidou IGSO-1 (Compass G-5),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,670","35,893",2.65E-03,55.09,1435.82,"4,200",31/07/2010,8 yrs.,Xichang Satellite Launch Center,Long March 3A
Beidou IGSO-2 (Compass G-7),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,717","35,817",1.19E-03,55.23,1436.12,"4,200",17/12/2010,8 yrs.,Xichang Satellite Launch Center,Long March 3A
Beidou IGSO-3 (Compass G-8),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,693","37,872",2.52E-02,96.4,1435.93,"4,200",9/4/2011,8 yrs.,Xichang Satellite Launch Center,Long March 3A
Beidou IGSO-4 (Compass G-9),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,708","35,879",2.03E-03,55.2,1435.1,"4,200",26/07/2011,8 yrs.,Xichang Satellite Launch Center,Long March 3A
Beidou IGSO-5 (Compass G-10),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,GEO,"35,708","35,864",1.85E-03,55.16,1436.08,"4,200",1/12/2011,8 yrs.,Xichang Satellite Launch Center,Long March 3A
Beidou M1 (Compass M1),China,"Chinese Defense Ministry,China",Military/Government,Navigation/Global Positioning,MEO,"21,519","21,545",4.66E-04,55.26,773.39,"2,200",14/04/2007,8 yrs.,Xichang Satellite Launch Center,Long March 3A
"BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",China,"Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),China",Civil,Earth Observation,LEO,681,703,1.56E-03,97.9,98.6,166,27/10/2005,7 yrs.,Plesetsk Cosmodrome,Kosmos 3M
Belintersat-1,NR,"Belintersat,Belarus",Government,Communications,GEO,"35,779","35,792",1.54E-04,0.46,1436.06,"5,223",15/01/2016,15 yrs.,Xichang Satellite Launch Center,Long March 3B
BermudaSat-1 (Echostar 6) ,USA,"Echostar Technologies, LLC - leased to Bermuda, operated by SES Satellites,USA",Commercial,Communications,GEO,"35,775","35,798",2.73E-04,0.07,1436.12,"3,700",14/07/2000,12 yrs.,Cape Canaveral,Atlas 2AS
BGUSat (Ben Gurion University Satellite),NR (9/17),"Ben Gurion University,Israel",Civil,Earth Science/Space Science,LEO,496,506,7.28E-04,97.5,94.6,5,15/02/2017,2 yrs.,Satish Dhawan Space Centre,PSLV XL
Bird 2 (Bispectral InfraRed Detector 2),Germany,"Institute of Space Sensor Technology and Planetary Exploration,Germany",Government/Civil,Earth Observation/Technology Development,LEO,500,521,1.53E-03,97.9,94.8,92,22/10/2001,1.5 yrs.,Satish Dhawan Space Centre,PSLV C3
BIROS (Bispectral Infrared Optical System),Germany,"German Aerospace Center (DLR),Germany",Government,Earth Observation,LEO,500,517,1.24E-03,97.5,94.7,130,22/06/2016,2 yrs.,Satish Dhawan Space Centre,PSLV XL
BisonSat (Nwist Qwiqway),NR,"Salish Kootenai College,USA",Civil,Earth Observation/Technology Development,LEO,497,801,2.17E-02,64.78,97.7,1,8/10/2015,5 yrs.,Cape Canaveral,Atlas 5
BKA 2 (BelKA 2),Belarus,"National Academy of Sciences,Belarus",Government,Earth Observation,LEO,503,507,2.91E-04,97.5,94.7,400,22/07/2012,5 yrs.,Baikonur Cosmodrome,Soyuz-Fregat
BlackSky Pathfinder 1,NR (12/16),"BlackSky Global,USA",Commercial,Earth Observation,LEO,661,701,2.84E-03,98.2,98.3,44,26/09/2016,3 yrs.,Satish Dhawan Space Centre,PSLV
Blagovest-11L (Cosmos 2520),NR (10/17),"Ministry of Defense,Russia",Military/Commercial,Communications,GEO,"35,781","35,803",2.61E-04,0,"1,436",null,16/08/2017,15 yrs.,Baikonur Cosmodrome,Proton
BRAC ONNESHA (Bird BB),NR (10/17),"Kyushu Institute of Technology (KIT),Bangladesh",Civil,Communications,LEO,401,404,2.21E-04,51.6,94.6,2,7/7/2017,15 yrs.,International Space Station,Nanorack Deployer
Brazilsat B-2 (Brasilsat B-2),Brazil,"Embratel Star One,Brazil",Military/Commercial,Communications,GEO,"35,776","35,797",2.49E-04,0.84,1436.11,"1,780",28/03/1995,12 yrs.,Guiana Space Center,Ariane 44LP
Brazilsat B-3 (Brasilsat B-3),Brazil,"Embratel Star One,Brazil",Commercial,Communications,GEO,"35,769","35,803",4.03E-04,0.04,1436.07,"1,780",4/2/1998,12 yrs.,Guiana Space Center,Ariane 44LP
Brazilsat B-4 (Brasilsat B-4),Brazil,"Embratel Star One,Brazil",Commercial,Communications,GEO,"35,772","35,800",3.32E-04,0.07,1436.09,"2,495",17/08/2000,12 yrs.,Guiana Space Center,Ariane 44LP
BRISat,NR (12/16),"Bank Rakyat Indonesia (BRI),Indonesia",Commercial,Communications,GEO,"35,702","35,876",2.06E-03,0.07,1436.2,"3,540",19/06/2016,15 yrs.,Guiana Space Center,Ariane 5 ECA
BRITE-CA-1 (BRITE Toronto),NR,"University of Toronto, Institute for Aerospace Studies,Canada",Civil,Space Science,LEO,613,739,8.94E-03,97.97,98.27,10,19/06/2014,2 yrs.,Dombarovsky Air Base,Dnepr
"BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem)",Poland,"BRITE Consortium,Multinational",Government,Space Science,LEO,594,886,2.05E-02,97.7,99.6,10,21/11/2013,2 yrs.,Dombarovsky Air Base,Dnepr
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",NR,"BRITE Consortium,Multinational",Government,Space Science,LEO,610,633,1.64E-03,98.02,97.1,10,19/08/2014,2 yrs.,Taiyuan Launch Center,CZ-4B
BSAT-3A,Japan,"Broadcasting Satellite System Corp.,Japan",Commercial,Communications,GEO,"35,778","35,794",1.90E-04,0.03,1436.1,"1,980",14/08/2007,13 yrs.,Guiana Space Center,Ariane 5 ECA
BSAT-3B,Japan,"Broadcasting Satellite System Corp.,Japan",Commercial,Communications,GEO,"33,066","35,725",3.26E-02,0.07,1365.61,"2,060",28/10/2010,15 yrs.,Guiana Space Center,Ariane 5 ECA
BSAT-3C/JCSat 110-R,Japan,"Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Japan",Commercial,Communications,GEO,"35,784","35,787",3.56E-05,0.05,1436.04,"2,910",6/8/2011,15 yrs.,Guiana Space Center,Ariane 5 ECA
Bugsat-1 (Tita),NR,"Satellogic S.A.,Argentina",Commercial,Technology Development,LEO,570,617,3.37E-03,97.99,96.55,25,19/06/2014,2 yrs.,Dombarovsky Air Base,Dnepr
BulgariaSat-1,NR (10/17),"Bulsatcom,Bulgaria",Commercial,Communications,GEO,"35,774","35,797",2.73E-04,0,1436,"3,669",23/06/2017,15 yrs.,Cape Canaveral,Falcon 9
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),France,"Centre National d'Etudes Spatiales (CNES)/NASA,France/USA",Government,Earth Science,LEO,702,703,7.07E-05,98.2,98.8,587,28/04/2006,3 yrs.,Vandenberg AFB,Delta 2
Can-X2 (Canadian Advanced Nanospace experiment),Canada,"University of Toronto Institute for Aerospace Studies,Canada",Civil,Technology Development,LEO,609,629,1.43E-03,97.8,97.1,7,28/04/2008,5 yrs.,Satish Dhawan Space Centre,PSLV C9
Can-X4,NR,"University of Toronto Institute for Aerospace Studies,Canada",Civil,Technology Development,LEO,642,659,1.21E-03,97.74,98.26,15,30/06/2014,5 yrs.,Satish Dhawan Space Centre,PSLV-CA
Can-X5,NR,"University of Toronto Institute for Aerospace Studies,Canada",Civil,Technology Development,LEO,643,656,9.26E-04,98.26,97.72,15,30/06/2014,5 yrs.,Satish Dhawan Space Centre,PSLV-CA
CanX-7,NR (12/16),"University of Toronto Institute for Aerospace Studies,Canada",Civil,Technology Development,LEO,661,701,2.84E-03,98.2,98.3,15,26/09/2016,5 yrs.,Satish Dhawan Space Centre ,PSLV
CartoSat 1 (IRS P5),India,"Indian Space Research Organization (ISRO),India",Government,Earth Observation,LEO,618,619,7.15E-05,97.9,97.1,"1,560",5/5/2005,6 yrs.,Satish Dhawan Space Centre,PSLV C6
"CartoSat 2 (IRS P7, CartoSat 2AT)",India,"Indian Space Research Organization (ISRO),India",Government,Earth Observation,LEO,632,635,2.14E-04,97,97.4,680,10/1/2007,5 yrs.,Satish Dhawan Space Centre,PSLV C7
CartoSat 2A,India,"Indian Space Research Organization (ISRO),India",Military,Earth Observation,LEO,624,643,1.36E-03,97.9,97.4,680,28/04/2008,5 yrs.,Satish Dhawan Space Centre,PSLV C9
CartoSat 2B,India,"Indian Space Research Organization (ISRO),India",Government,Earth Observation,LEO,622,645,1.64E-03,97.9,97.4,694,12/7/2010,5 yrs.,Satish Dhawan Space Centre,PSLV
CartoSat 2C,NR (12/16),"Indian Space Research Organization (ISRO),India",Government,Earth Observation,LEO,501,519,1.31E-03,97.5,94.8,727,22/06/2016,5 yrs.,Satish Dhawan Space Centre ,PSLV XL
CartoSat 2D,NR (9/17),"Indian Space Research Organization (ISRO),India",Government,Earth Observation,LEO,491,508,1.24E-03,97.5,94.8,714,15/02/2017,5 yrs.,Satish Dhawan Space Centre,PSLV XL
CartoSat 2E,NR (10/17),"Indian Space Research Organization (ISRO),India",Government,Earth Observation,LEO,334,347,9.69E-04,96.92,91.34,712,22/06/2017,5 yrs.,Satish Dhawan Space Centre,PSLV
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),NR,"Canadian Space Agency,Canada",Government,Earth Science,LEO,325,"1,486",7.98E-02,81,103.11,490,29/09/2013,2 yrs.,Vandenberg AFB,Falcon 9
CBERS 4 (China-Brazil Earth Resources Satellite 4),NR,"China National Space Administration (China)/National Institute for Space Research (Brazil),China/Brazil",Government,Earth Observation,LEO,738,748,7.03E-04,98.55,99.67,"1,980",7/12/2014,3 yrs.,Taiyuan Launch Center,Long March 4B
CBNT-1 (Carbonite 1),NR,"Surrey Satellite Technologies Ltd. ,United Kingdom",Commercial,Technology Development,LEO,636,658,1.57E-03,98,97.66,91,10/7/2015,5 yrs.,Satish Dhawan Space Centre,PSLV
CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1),NR (12/16),"Air Force Research Laboratory,USA",Military,Technology Development,LEO,576,586,7.19E-04,97.98,96.29,3,11/11/2016,3 yrs.,Vandenberg AFB,Atlas 5
CE-SAT-1 (Canon Electric Satellite 1),NR (10/17),"Canon Electronics ,Japan",Commercial,Technology Development,LEO,497,517,1.45E-03,97.45,94.76,3,22/06/2017,5 yrs.,Satish Dhawan Space Centre,PSLV
CFESat (Cibola Flight Experiment Satellite),USA,"Los Alamos National Laboratory,USA",Government,Technology Development,LEO,538,544,4.34E-04,35.4,95.5,159,9/3/2007,3 yrs.,Cape Canaveral,Atlas 5
Challenger (QB50-US01/QBUS-1),NR (10/17),"University of Colorado, Boulder,USA",Civil,Space Science,LEO,398,408,7.38E-04,51.6,92.6,4,26/05/2017,8 yrs.,International Space Station,Nanorack Deployer
Chandra X-Ray Observatory (CXO),USA,"National Aeronautics and Space Administration (NASA) Goddard Space Flight Center,USA",Government,Space Science,Elliptical,"9,999","138,825",7.97E-01,28.5,3808.92,"4,742",23/07/1999,5 yrs.,Cape Canaveral,Space Shuttle (STS 93)
Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite),NR (1/17),"Shanghai Engineering Center for Microsatellites,China",Government,Earth Observation ,LEO,690,720,2.12E-03,98.1,98.87,50,21/12/2016,2 yrs.,Jiuquan Satellite Launch Center,Long March 2D
ChinaSat 11 (Zhong Xing 11),China,"China Satellite Communication Corp. (China Satcom),China",Commercial,Communications,GEO,"35,781","35,793",1.42E-04,0.02,1436.14,"5,100",1/5/2013,15 yrs.,Xichang Satellite Launch Center,Long March 3B
Chinasat 16 (Shijian 13),NR (9/17),"China Satellite Communication Corp. (China Satcom),China",Government,Communications,GEO,"35,756","35,816",7.12E-04,0,1436.1,"4,600",12/4/2017,15 yrs.,Xichang Satellite Launch Center,Long March 3B
ChinaSat 1C (Zhong Xing 1C),NR,"China Satellite Communication Corp. (China Satcom),China",Commercial,Communications,GEO,"35,778","35,796",2.13E-04,0.01,1436.12,"5,200",9/12/2015,15 yrs.,Xichang Satellite Launch Center,Long March 3B
ChinaSat 2C (Zhong Xing 2C),NR,"China Satellite Communication Corp. (China Satcom),China",Commercial/Government,Communications,GEO,"35,787","35,801",1.66E-04,0.5,1436.1,"5,200",3/11/2015,15 yrs.,Xichang Satellite Launch Center,Long March 3B
ChinaSat 6B (Zhong Xing 6B),China,"China Satellite Communication Corp. (China Satcom),China",Commercial/Government,Communications,GEO,"35,777","35,797",2.37E-04,0.05,1436.1,"4,600",6/7/2007,15 yrs.,Xichang Satellite Launch Center,Long March 3B
ChinaSat 9A (Zhong Xing 9A),NR (10/17),"China Satellite Communication Corp. (China Satcom),China",Commercial/Government,Communications,GEO,"35,773","35,800",3.20E-04,0,1436.1,"5,000",18/06/2017,15 yrs.,Xichang Satellite Launch Center,Long March 3B
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",China,"Chinese Academy of Sciences,China",Government,Communications,LEO,729,748,1.34E-03,98.5,99.6,100,21/10/2003,2 yrs.,Taiyuan Launch Center,Long March 3B
Chuangxin 1-2 (Innovation 1-2),China,"Chinese Academy of Sciences,China",Government,Earth Observation,LEO,785,804,1.33E-03,98.5,98.5,101,5/11/2008,2 yrs.,Jiuquan Satellite Launch Center,Long March 2D
Chuangxin 1-3 (Innovation 1-3),China,"Chinese Academy of Sciences,China",Government,Earth Observation,LEO,784,804,1.40E-03,98.5,100.7,100,20/11/2011,2 yrs.,Jiuquan Satellite Launch Center,Long March 2D
Chuangxin 1-4 (Innovation 1-4),China,"Chinese Academy of Sciences,China",Government,Earth Observation,LEO,778,809,2.16E-03,98.46,100.74,100,4/9/2014,2 yrs.,Jiuquan Satellite Launch Center,Long March 2D
Chuangxin-3,China,"Chinese Academy of Sciences,China",Government,Technology Development,LEO,665,672,4.97E-04,98.03,96.43,200,19/07/2013,2 yrs.,Taiyuan Launch Center,Long March 2C
ChubuSat 1 (Kinshachi-1),NR,"Nagoya University and Daido University,Japan",Civil,Technology Development,LEO,506,538,2.32E-03,97.48,95.07,50,6/11/2014,2 yrs.,Dombarovsky Air Base,Dnepr
ChubuSat 2 (Kinshachi-2),NR (12/16),"Nagoya University and Daido University,Japan",Civil,Technology Development,LEO,560,579,1.37E-03,31,96.05,50,17/02/2016,2 yrs.,Tanegashima Space Center,H-2A
ChubuSat 3 (Kinshachi-3),NR (12/16),"Nagoya University and Daido University,Japan",Civil,Technology Development,LEO,558,579,1.51E-03,31,96,50,17/02/2016,2 yrs.,Tanegashima Space Center,H-2A
Cicero-1,NR (10/17),"GeoOptics Inc.,USA",Commercial,Earth Observation,LEO,586,602,1.15E-03,97.6,96.6,10,14/07/2017,2 yrs.,Baikonur Cosmodrome,Soyuz 2.1a
Cicero-2,NR (10/17),"GeoOptics Inc.,USA",Commercial,Earth Observation,LEO,586,602,1.15E-03,97.6,96.6,10,14/07/2017,2 yrs.,Baikonur Cosmodrome,Soyuz 2.1a
Cicero-3,NR (10/17),"GeoOptics Inc.,USA",Commercial,Earth Observation,LEO,586,602,1.15E-03,97.6,96.6,10,14/07/2017,2 yrs.,Baikonur Cosmodrome,Soyuz 2.1a
Cicero-6  (Community Initiative for Cellular Earth Remote Observation-6),NR (10/17),"GeoOptics Inc.,USA",Commercial,Earth Observation,LEO,496,515,1.38E-03,97.45,94.7,10,23/06/2017,5 yrs.,Satish Dhawan Space Centre,PSLV
Ciel-2,Canada,"Ciel Satellite Group,Canada",Commercial,Communications,GEO,"35,782","35,788",7.12E-05,0.05,1436.05,"5,585",10/12/2008,15 yrs.,Baikonur Cosmodrome,Proton M
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",USA,"University of California-Berkeley/Imperial College-London,USA",Civil,Space Science,LEO,484,791,2.19E-02,64.6,97.4,3,13/09/2012,5 yrs.,Vandenberg AFB,Atlas 5
CLIO (USA 257),USA,"Unknown US agency,USA",Military,Communications,GEO,"35,736","35,854",1.40E-03,0.04,1436.5,null,16/09/2014,7 yrs.,Cape Canaveral,Atlas 5
